Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       14     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, bool> >::_M_v() const
  0.00      0.00     0.00       14     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, bool> >::_M_valptr() const
  0.00      0.00     0.00       14     0.00     0.00  int const& std::__pair_get<0ul>::__const_get<int const, bool>(std::pair<int const, bool> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::tuple_element<0ul, std::pair<int const, bool> >::type const& std::get<0ul, int const, bool>(std::pair<int const, bool> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::pair<int const, bool> const& std::forward<std::pair<int const, bool> const&>(std::remove_reference<std::pair<int const, bool> const&>::type&)
  0.00      0.00     0.00       13     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.00     0.00       13     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false> const&) const
  0.00      0.00     0.00       13     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::new_allocator()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::~new_allocator()
  0.00      0.00     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       12     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::__cxx11::list<int, std::allocator<int> > >, false, false>::operator*() const
  0.00      0.00     0.00       12     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, bool>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.00     0.00       12     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, bool>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, bool>, false> const&) const
  0.00      0.00     0.00       12     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      0.00     0.00       12     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::~allocator()
  0.00      0.00     0.00       12     0.00     0.00  std::_Head_base<0ul, int const&, false>::_M_head(std::_Head_base<0ul, int const&, false>&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Head_base<0ul, int const&, false>::_Head_base(int const&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_M_head(std::_Tuple_impl<0ul, int const&>&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(std::_Tuple_impl<0ul, int const&>&&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(int const&)
  0.00      0.00     0.00       12     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.00     0.00       12     0.00     0.00  std::tuple<int const&>::tuple<true, true>(int const&)
  0.00      0.00     0.00       12     0.00     0.00  std::tuple<int const&>::tuple(std::tuple<int const&>&&)
